### Module positions - created on 2025-05-16 23:31
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
J969          Conn_01x01          single_pin                    136.2000   -65.8800   136.2000   -65.8800      0.0    top       SMD
J968          Conn_01x01          single_pin                    136.2000   -63.1800   136.2000   -63.1800      0.0    top       SMD
J967          Conn_01x01          single_pin                    136.2000   -60.4800   136.2000   -60.4800      0.0    top       SMD
J966          Conn_01x01          single_pin                    136.2000   -57.7800   136.2000   -57.7800      0.0    top       SMD
J965          Conn_01x01          single_pin                    136.2000   -55.0800   136.2000   -55.0800      0.0    top       SMD
J964          Conn_01x01          single_pin                    136.2000   -52.3800   136.2000   -52.3800      0.0    top       SMD
J963          Conn_01x01          single_pin                    136.2000   -49.6800   136.2000   -49.6800      0.0    top       SMD
J962          Conn_01x01          single_pin                    136.2000   -46.9800   136.2000   -46.9800      0.0    top       SMD
J961          Conn_01x01          single_pin                    136.2000   -44.2800   136.2000   -44.2800      0.0    top       SMD
J960          Conn_01x01          single_pin                    133.5000   -68.5800   133.5000   -68.5800      0.0    top       SMD
J959          Conn_01x01          single_pin                    133.5000   -65.8800   133.5000   -65.8800      0.0    top       SMD
J958          Conn_01x01          single_pin                    133.5000   -63.1800   133.5000   -63.1800      0.0    top       SMD
J957          Conn_01x01          single_pin                    133.5000   -60.4800   133.5000   -60.4800      0.0    top       SMD
J956          Conn_01x01          single_pin                    133.5000   -57.7800   133.5000   -57.7800      0.0    top       SMD
J955          Conn_01x01          single_pin                    133.5000   -55.0800   133.5000   -55.0800      0.0    top       SMD
J954          Conn_01x01          single_pin                    133.5000   -52.3800   133.5000   -52.3800      0.0    top       SMD
J953          Conn_01x01          single_pin                    133.5000   -49.6800   133.5000   -49.6800      0.0    top       SMD
J952          Conn_01x01          single_pin                    133.5000   -46.9800   133.5000   -46.9800      0.0    top       SMD
J951          Conn_01x01          single_pin                    133.5000   -44.2800   133.5000   -44.2800      0.0    top       SMD
J950          Conn_01x01          single_pin                    130.8000   -68.5800   130.8000   -68.5800      0.0    top       SMD
J949          Conn_01x01          single_pin                    130.8000   -65.8800   130.8000   -65.8800      0.0    top       SMD
J948          Conn_01x01          single_pin                    130.8000   -63.1800   130.8000   -63.1800      0.0    top       SMD
J947          Conn_01x01          single_pin                    130.8000   -60.4800   130.8000   -60.4800      0.0    top       SMD
J946          Conn_01x01          single_pin                    130.8000   -57.7800   130.8000   -57.7800      0.0    top       SMD
J945          Conn_01x01          single_pin                    130.8000   -55.0800   130.8000   -55.0800      0.0    top       SMD
J944          Conn_01x01          single_pin                    130.8000   -52.3800   130.8000   -52.3800      0.0    top       SMD
J943          Conn_01x01          single_pin                    130.8000   -49.6800   130.8000   -49.6800      0.0    top       SMD
J942          Conn_01x01          single_pin                    130.8000   -46.9800   130.8000   -46.9800      0.0    top       SMD
J941          Conn_01x01          single_pin                    130.8000   -44.2800   130.8000   -44.2800      0.0    top       SMD
J940          Conn_01x01          single_pin                    128.1000   -68.5800   128.1000   -68.5800      0.0    top       SMD
J939          Conn_01x01          single_pin                    128.1000   -65.8800   128.1000   -65.8800      0.0    top       SMD
J938          Conn_01x01          single_pin                    128.1000   -63.1800   128.1000   -63.1800      0.0    top       SMD
J937          Conn_01x01          single_pin                    128.1000   -60.4800   128.1000   -60.4800      0.0    top       SMD
J936          Conn_01x01          single_pin                    128.1000   -57.7800   128.1000   -57.7800      0.0    top       SMD
J935          Conn_01x01          single_pin                    128.1000   -55.0800   128.1000   -55.0800      0.0    top       SMD
J934          Conn_01x01          single_pin                    128.1000   -52.3800   128.1000   -52.3800      0.0    top       SMD
J933          Conn_01x01          single_pin                    128.1000   -49.6800   128.1000   -49.6800      0.0    top       SMD
J932          Conn_01x01          single_pin                    128.1000   -46.9800   128.1000   -46.9800      0.0    top       SMD
J931          Conn_01x01          single_pin                    128.1000   -44.2800   128.1000   -44.2800      0.0    top       SMD
J930          Conn_01x01          single_pin                    152.4000   -39.5800   152.4000   -39.5800      0.0    top       SMD
J929          Conn_01x01          single_pin                    152.4000   -36.8800   152.4000   -36.8800      0.0    top       SMD
J928          Conn_01x01          single_pin                    152.4000   -34.1800   152.4000   -34.1800      0.0    top       SMD
J927          Conn_01x01          single_pin                    152.4000   -31.4800   152.4000   -31.4800      0.0    top       SMD
J926          Conn_01x01          single_pin                    152.4000   -28.7800   152.4000   -28.7800      0.0    top       SMD
J925          Conn_01x01          single_pin                    152.4000   -26.0800   152.4000   -26.0800      0.0    top       SMD
J924          Conn_01x01          single_pin                    152.4000   -23.3800   152.4000   -23.3800      0.0    top       SMD
J923          Conn_01x01          single_pin                    152.4000   -20.6800   152.4000   -20.6800      0.0    top       SMD
J922          Conn_01x01          single_pin                    152.4000   -17.9800   152.4000   -17.9800      0.0    top       SMD
J921          Conn_01x01          single_pin                    152.4000   -15.2800   152.4000   -15.2800      0.0    top       SMD
J920          Conn_01x01          single_pin                    149.7000   -39.5800   149.7000   -39.5800      0.0    top       SMD
J919          Conn_01x01          single_pin                    149.7000   -36.8800   149.7000   -36.8800      0.0    top       SMD
J918          Conn_01x01          single_pin                    149.7000   -34.1800   149.7000   -34.1800      0.0    top       SMD
J917          Conn_01x01          single_pin                    149.7000   -31.4800   149.7000   -31.4800      0.0    top       SMD
J916          Conn_01x01          single_pin                    149.7000   -28.7800   149.7000   -28.7800      0.0    top       SMD
J915          Conn_01x01          single_pin                    149.7000   -26.0800   149.7000   -26.0800      0.0    top       SMD
J914          Conn_01x01          single_pin                    149.7000   -23.3800   149.7000   -23.3800      0.0    top       SMD
J913          Conn_01x01          single_pin                    149.7000   -20.6800   149.7000   -20.6800      0.0    top       SMD
J912          Conn_01x01          single_pin                    149.7000   -17.9800   149.7000   -17.9800      0.0    top       SMD
J911          Conn_01x01          single_pin                    149.7000   -15.2800   149.7000   -15.2800      0.0    top       SMD
J910          Conn_01x01          single_pin                    147.0000   -39.5800   147.0000   -39.5800      0.0    top       SMD
